GGEOIDHT,Reference GPS Height of geoid (MSL) above WGS84 ellipsoid,m
GGLAT,Reference GPS Latitude,degree_N
GGLATSD,Standard Deviation of Reference GPS Latitude,m
GGLON,Reference GPS Longitude,degree_E
GGLONSD,Standard Deviation of Reference GPS Longitude,m
GGNSAT,Reference GPS number of satellites used in solution,number
GGNSATL1,Reference GPS number of satellites with L1/E1/B1 signals used in solution,number
GGNSATMULTI,Reference GPS number of satellites with multi-frequency signals used in solution,number
GGNSATTRK,Reference GPS number of satellites tracked,number
GGQUAL,"Reference GPS Qual, 0=inval,1=GPS,2=DGPS,5=FRTK",none
GGREFID,DGPS station ID number,none
GGSPD,Reference GPS Ground Speed,m/s
GGSTATUS,"Reference GPS rcvr status: 1=OK(A), 0=warning(V)",none
GGTRK,Reference GPS Track Angle,degree_T
GGVEW,"Reference GPS Ground Speed Vector, East Component",m/s
GGVNS,"Reference GPS Ground Speed Vector, North Component",m/s
GGVSPD,Reference GPS Vertical Speed,m/s
GSPD,IRS Aircraft Ground Speed,m/s
H2O_ARI,volume_mixing_ratio_of_water_in_dry_air,ppmv
H2O_WVISO1,wet mole fraction of target water phase(s),ppmv
H2O_WVISO2,wet mole fraction of target water phase(s),ppmv
HGM232,Altitude above ground (radar altimeter),feet
I2DCA_RPC,"Interarrival Time Accumulation, All Particles Including Rejectio",count
IAS,Indicated Airspeed,knot
ICOLLWC_NEV,Nevzorov LWC collector current,A
ICOLTWC_NEV,Nevzorov TWC collector current,A
INC_CFDC,CFDC IN Count,count
IRBC,"Corrected Infrared Irradiance, Bottom",W/m2
IRBHT,"Pyrgeometer (IR) Housing Temperature, Bottom",deg_C
IREFLWC_NEV,Nevzorov LWC reference current,A
IREFTWC_NEV,Nevzorov TWC reference current,A
IRTC,"Corrected Infrared Irradiance, Top",W/m2
IRTHT,"Pyrgeometer (IR) Housing Temperature, Top",deg_C
LAT,IRS Latitude,degree_N
LATC,GPS-Corrected Inertial Latitude,degree_N
LON,IRS Longitude,degree_E
LONC,GPS-Corrected Inertial Longitude,degree_E
MACHFR,"Aircraft Mach Number, Fuselage Right",none
MACHX,"Aircraft Mach Number, Fuselage Right",none
MFLOW_SDI,SDI Mass Flow,slpm
MODE_VXL,VCSEL Mode,none
MR,"Mixing Ratio, T-Electric",gram/kg
N2O_ARI,volume_mixing_ratio_of_nitrous_oxide_in_dry_air,ppbv
NACCEPT2DCA_RPC,"Number of Fast 2DC Particles Accepted, All Particles",count
NACCEPT2DCR_RPC,"Number of Fast 2DC Particles Accepted, Round Particles",count
NREJECT2DCA_RPC,"Number of Fast 2DC Particles Rejected, All Particles",count
NREJECT2DCR_RPC,"Number of Fast 2DC Particles Rejected, Round Particles",count
ONE,Constant value of 1.,none
OVFLW_LWI,CDP AtoD Converter Overflow/Overrange,count
OVFLW_LWO,CDP AtoD Converter Overflow/Overrange,count
PALT,NACA Pressure Altitude,m
PALTF,NACA Pressure Altitude,feet
PBYP_CVI,CVI Bypass Pressure,hpa
PCAB,Interior Cabin Static Pressure,hPa
PCAB_WVISO1,Ambient Pressure,torr
PCAB_WVISO2,Ambient Pressure,torr
PCAS108_bnds,lower and upper bounds for S200_RWO,um
PCN,BCN Counter Inlet Pressure,hPa
PDRY,Power Dry Calculated,W
PFLWC_RWO,PCAS Corrected Flow,vol cm3/s
PFLWS_RWO,SPP-200 Sheath Flow,std cm3/s
PFLW_RWO,SPP-200 Flow,std cm3/s
PHGB_RWO,SPP-200 High-Gain Baseline,V
PITCH,IRS Aircraft Pitch Angle,degree
PLGB_RWO,SPP-200 Low-Gain Baseline,V
PLWC2DCA_RPC,"Fast 2DC Liquid Water Content, All Particles",g m-3
PLWC2DCR_RPC,"Fast 2DC Liquid Water Content, Round Particles",g m-3
PLWCC,Corrected PMS-King Liquid Water Content,g m-3
PLWCD_LWI,CDP Water/Ice Content,g m-3
PLWCD_LWO,CDP Water/Ice Content,g m-3
PMGB_RWO,SPP-200 Mid-Gain Baseline,V
PONB_CVI,CVI Pressure ONB,hpa
PREF_RWO,SPP-200 Laser Reference Voltage,V
PREGAIN_VXL,VCSEL Pre Gain,count
PSAMP_CVI,CVI Sample Pressure,hpa
PSFC,"Corrected Static Pressure, Fuselage",hPa
PSFD,"Raw Static Pressure, Fuselage",hPa
PSFDC,"Corrected Static Pressure, Fuselage Digital",hPa
PSFRD,"Raw Static Pressure, Fuselage",hPa
PSURF,Calculated Surface Pressure,hPa
PSX,"Raw Static Pressure, Fuselage",hPa
PSXC,"Corrected Static Pressure, Fuselage",hPa
PTMP_RWO,SPP-200 Detector Temperature,deg_C
PUSER_CVI,CVI User Pressure,hpa
PVOLP_RWO,PCASP Equivalent Volume,um3/m3
PVOLU_WYO,UHSAS Equivalent Volume,um3/m3
P_ARI,Aerodyne Mini 108 Pressure,Torr
P_CFDC,CFDC Pressure,hPa
P_SDI,SDI Flowmeter Absolute Pressure,mb
QCFC,"Corrected Dynamic Pressure, Fuselage",hPa
QCFR,"Raw Dynamic Pressure, Fuselage Right",hPa
QCFRC,"Raw Dynamic Pressure, Fuselage Right, Corrected",hPa
QCRC,"Corrected Dynamic Pressure, Radome",hPa
QCX,"Raw Dynamic Pressure, Fuselage Right",hPa
QCXC,"Raw Dynamic Pressure, Fuselage Right, Corrected",hPa
RALT,Geometric (Radar) Altitude (APN-232),m
REFF2DCA_RPC,"Fast 2DC Effective Radius, All Particles",um
REFF2DCR_RPC,"Fast 2DC Effective Radius, Round Particles",um
REFFD_LWI,CDP Effective Diameter,um
REFFD_LWO,CDP Effective Diameter,um
REJDOF_LWI,CDP Rejected Particle Count (Outside Depth-of-Field),count
REJDOF_LWO,CDP Rejected Particle Count (Outside Depth-of-Field),count
RHODT,"Absolute Humidity, T-Electric",g m-3
RHUM,Relative Humidity,%
RICE,Raw Icing-Rate Indicator,V
ROLL,IRS Aircraft Roll Angle,degree
RPS_RPC,Fast 2DC Records per Second,count
RSTB,Radiometric Surface Temperature,deg_C
RSTB1,Radiometric Surface Temperature,deg_C
RSTT,Radiometric Sky/Cloud-Base Temperature,deg_C
RTF1,"Recovery Air Temperature, ADS Rack",deg_C
RTX,"Recovery Air Temperature, Heated Left",deg_C
SAT_CFDC,CFDC Saturation Water,%
SDIQUAL_SDI,"SDI data quality flag (1=isokinetic,0=anisokinetic)",bool
SETPT_SDI,SDI Mass Flow Set Point,slpm
SFLOW_CFDC,CFDC Sheath Flow,L/min
SOLAZ,Solar Azimuth Angle,radian
SOLDE,Solar Declination Angle,radian
